alpha_n,rep,method,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec
0.1,3,Non-random,0.28164083301089704,0.028157916996860877,0.11365745900548063,,,,,,,,,0.28164083301089704,0.2816390420193784,1.7909915186464787e-06,0.42345620901323855,,,,,,,0.22977166599594057,0.05080245900899172,0.0010649170144461095
0.1,4,Random Projection,0.12403654100489803,0.018141584005206823,0.14036620801198296,0.00010879099136218429,0.0063697090081404895,0.0007412080012727529,0.002115750015946105,0.005841834004968405,7.966600242070854e-05,9.832991054281592e-06,0.10876387500320561,0.12403654100489803,0.12403066601837054,5.874986527487636e-06,0.2825443330220878,,,,,,,,,
0.1,4,Random Sampling,0.15995750000001863,0.018141584005206823,0.1288256249972619,,,,,,,,,0.15995750000001863,0.159952332964167,5.167035851627588e-06,0.30692470900248736,0.00878708399250172,0.01616841700160876,0.03418737498577684,0.0010119999933522195,0.003390791011042893,0.09640666597988456,,,
0.1,4,Non-random,0.4084642500092741,0.018141584005206823,0.15088712502620183,,,,,,,,,0.4084642500092741,0.4084624579991214,1.7920101527124643e-06,0.5774929590406828,,,,,,,0.2343998749856837,0.17331166699295864,0.0007509160204790533
0.1,5,Random Projection,0.09292958298465237,0.02567345797433518,0.12137224999605678,6.395799573510885e-05,0.006135000003268942,0.00044229099876247346,0.0007446669915225357,0.0012590419792104512,6.500000017695129e-05,8.792005246505141e-06,0.08420725000905804,0.09292958298465237,0.09292599998298101,3.583001671358943e-06,0.23997529095504433,,,,,,,,,
0.1,5,Random Sampling,0.14249599998584017,0.02567345797433518,0.11980916702304967,,,,,,,,,0.14249599998584017,0.1424895409727469,6.459013093262911e-06,0.287978624983225,0.012809707986889407,0.012668415991356596,0.024880749988369644,0.0010147080174647272,0.0013865419896319509,0.08972941699903458,,,
0.1,5,Non-random,0.2847579999943264,0.02567345797433518,0.13335275001008995,,,,,,,,,0.2847579999943264,0.28475629098829813,1.7090060282498598e-06,0.4437842079787515,,,,,,,0.23113041601027362,0.05261058299220167,0.0010152919858228415
0.1,6,Random Projection,0.06992829099181108,0.016599709022557363,0.11800704101915471,0.00011641698074527085,0.00713250000262633,0.0004147079889662564,0.000767707999330014,0.0036040830018464476,7.97079992480576e-05,9.707990102469921e-06,0.05779729099594988,0.06992829099181108,0.06992212295881473,6.168032996356487e-06,0.20453504103352316,,,,,,,,,
0.1,6,Random Sampling,0.19880283300881274,0.016599709022557363,0.13973383299889974,,,,,,,,,0.19880283300881274,0.19879637600388378,6.457004928961396e-06,0.35513637503026985,0.007506958005251363,0.02163454200490378,0.026680834009312093,0.0010045419912785292,0.0015778749948367476,0.14039162499830127,,,
0.1,6,Non-random,0.39087491697864607,0.016599709022557363,0.14325637501315214,,,,,,,,,0.39087491697864607,0.39087295898934826,1.9579892978072166e-06,0.5507310010143556,,,,,,,0.28761520798434503,0.10214408399770036,0.0011136670073028654
0.1,7,Random Projection,0.07177733301068656,0.024184165988117456,0.12470462499186397,6.445799954235554e-05,0.007067291007842869,0.00018200001795776188,0.0005906250153202564,0.0010767499916255474,5.775000317953527e-05,8.750008419156075e-06,0.06272633298067376,0.07177733301068656,0.07177395702456124,3.375986125320196e-06,0.22066612399066798,,,,,,,,,
0.1,7,Random Sampling,0.1505648750171531,0.024184165988117456,0.13485908298753202,,,,,,,,,0.1505648750171531,0.15055766797740944,7.2070397436618805e-06,0.3096081239928026,0.007443166978191584,0.006903208006406203,0.017683832993498072,0.001154583995230496,0.00520366700948216,0.11216920899460092,,,
0.1,7,Non-random,0.3008307089912705,0.024184165988117456,0.12531479200697504,,,,,,,,,0.3008307089912705,0.30082787497667596,2.834014594554901e-06,0.450329666986363,,,,,,,0.24478470897884108,0.05493345801369287,0.0011097079841420054
0.1,8,Random Projection,0.07382670900551602,0.02123837498947978,0.09864691598340869,6.550000398419797e-05,0.0050182080012746155,0.0006937079888302833,0.0007232920033857226,0.0041552920010872185,0.00013279198901727796,2.241699257865548e-05,0.06300945801194757,0.07382670900551602,0.07382066699210554,6.04201341047883e-06,0.1937119999784045,,,,,,,,,
0.1,8,Random Sampling,0.09212579199811444,0.02123837498947978,0.1216943750041537,,,,,,,,,0.09212579199811444,0.09211954197962768,6.250018486753106e-06,0.23505854199174792,0.00582554200082086,0.007720875000813976,0.017637416982324794,0.0011693330015987158,0.002740625001024455,0.05702574999304488,,,
0.1,8,Non-random,0.2753784579981584,0.02123837498947978,0.12416150001809001,,,,,,,,,0.2753784579981584,0.27537645897245966,1.999025698751211e-06,0.4207783330057282,,,,,,,0.21470437498646788,0.05959520899341442,0.001076874992577359
0.1,9,Random Projection,0.1015054159797728,0.02526108402526006,0.127761791984085,0.00012108299415558577,0.009064083016710356,0.00038670800859108567,0.005384542018873617,0.001191541989101097,7.233300129882991e-05,8.666975190863013e-06,0.08527150002191775,0.1015054159797728,0.10150045802583918,4.957953933626413e-06,0.25452829198911786,,,,,,,,,
0.1,9,Random Sampling,0.20083766599418595,0.02526108402526006,0.13569891700171866,,,,,,,,,0.20083766599418595,0.20082983397878706,7.83201539888978e-06,0.36179766702116467,0.009582500002579764,0.016194916010135785,0.02407766701071523,0.0025858339795377105,0.006660499988356605,0.14172841698746197,,,
0.1,9,Non-random,0.26793666699086316,0.02526108402526006,0.1031181669968646,,,,,,,,,0.26793666699086316,0.2679345830110833,2.083979779854417e-06,0.3963159180129878,,,,,,,0.23248145799152553,0.034252125013154,0.001201000006403774
